,area,neuron_type,neuron_name,section_type,bifurcation_count,total_length,bin_size,Count0,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10,Count11,Count12,Count13,Count14,Count15,Count16,Count17,Count18,Count19,Count20,Count21,Count22,Count23,Count24,Count25,Count26,Count27,Count28,Count29,Count30
0,aPC,PYR,d080429a-100,basal_dendrite,7,2749.2388465507115,50.0,3.0,7.0,8.0,9.0,9.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,aPC,PYR,d080429a-100,apical_dendrite,10,3572.355292881448,50.0,1.0,4.0,5.0,3.0,5.0,7.0,13.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,aPC,PYR,d080414a-100,apical_dendrite,9,4224.7108160686485,50.0,1.0,2.0,2.0,3.0,5.0,7.0,9.0,11.0,12.0,9.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,aPC,PYR,d080414a-100,basal_dendrite,7,2687.2994125327177,50.0,8.0,10.0,7.0,7.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,aPC,PYR,d080408a-100,apical_dendrite,11,3968.6043517163175,50.0,1.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,6.0,7.0,9.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,aPC,PYR,d080408a-100,basal_dendrite,19,5486.101845133171,50.0,4.0,7.0,17.0,17.0,13.0,9.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,aPC,PYR,d080415b-100,apical_dendrite,9,4779.281961026601,50.0,1.0,2.0,5.0,8.0,7.0,10.0,11.0,12.0,13.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,aPC,PYR,d080415b-100,basal_dendrite,8,2539.7506437228635,50.0,3.0,10.0,9.0,8.0,6.0,6.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,aPC,PYR,d080511a-100,apical_dendrite,17,5577.023669362274,50.0,1.0,1.0,1.0,2.0,4.0,4.0,7.0,8.0,8.0,13.0,14.0,19.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,aPC,PYR,d080511a-100,basal_dendrite,8,3583.25109371854,50.0,4.0,5.0,10.0,9.0,7.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,aPC,PYR,d080502a-100,apical_dendrite,11,4939.707243462412,50.0,1.0,3.0,3.0,3.0,5.0,6.0,4.0,7.0,7.0,10.0,13.0,12.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,aPC,PYR,d080502a-100,basal_dendrite,20,5186.898823913899,50.0,7.0,26.0,22.0,17.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,aPC,PYR,d080312a-100,apical_dendrite,12,4750.574329780751,50.0,1.0,3.0,7.0,10.0,13.0,15.0,15.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,aPC,PYR,d080312a-100,basal_dendrite,10,4686.931714304501,50.0,8.0,8.0,12.0,11.0,11.0,11.0,11.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,aPC,PYR,d080404a-100,apical_dendrite,8,3201.9363655969164,50.0,1.0,2.0,5.0,8.0,10.0,12.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,aPC,PYR,d080404a-100,basal_dendrite,5,1583.4226313640058,50.0,4.0,5.0,8.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,aPC,PYR,d071121a-100,apical_dendrite,10,5804.523470787325,50.0,1.0,5.0,4.0,6.0,6.0,9.0,11.0,12.0,11.0,12.0,11.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,aPC,PYR,d071121a-100,basal_dendrite,9,2523.6579209294946,50.0,3.0,8.0,11.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,aPC,PYR,d080328a-100,apical_dendrite,11,3191.567735838594,50.0,1.0,2.0,2.0,4.0,5.0,6.0,4.0,4.0,4.0,6.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,aPC,PYR,d080328a-100,basal_dendrite,9,4810.461441878305,50.0,7.0,11.0,14.0,12.0,9.0,8.0,6.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,aPC,PYR,d080508a-100,apical_dendrite,9,4494.477410740771,50.0,2.0,2.0,2.0,4.0,6.0,6.0,8.0,8.0,12.0,12.0,12.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,aPC,PYR,d080508a-100,basal_dendrite,8,3667.83482080809,50.0,6.0,9.0,12.0,12.0,11.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,aPC,PYR,080709a-100,apical_dendrite,16,4063.189962851036,50.0,1.0,2.0,6.0,6.0,7.0,11.0,11.0,12.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,aPC,PYR,080709a-100,basal_dendrite,22,4582.445347656488,50.0,6.0,13.0,17.0,19.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,aPC,SL,d080305a-100,basal_dendrite,6,2671.599968490501,50.0,2.0,6.0,7.0,8.0,6.0,6.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,aPC,SL,d080305a-100,apical_dendrite,2,820.9086288195432,50.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,aPC,SL,d080421a-100,apical_dendrite,15,4629.581211490394,50.0,2.0,5.0,8.0,13.0,16.0,17.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,aPC,SL,d080421a-100,basal_dendrite,2,590.0565424709591,50.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,aPC,SL,d080415a-100,apical_dendrite,11,3020.54154498306,50.0,2.0,5.0,7.0,5.0,7.0,9.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,aPC,SL,d080415a-100,basal_dendrite,1,272.66588180122545,50.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Neocortex,PYR,C170797A-P1,apical_dendrite,2,677.514338208301,50.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Neocortex,PYR,C170797A-P1,basal_dendrite,8,824.944812435238,50.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Neocortex,PYR,C190199A-P3,apical_dendrite,8,1838.9188744518426,50.0,1.0,0.0,5.0,8.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Neocortex,PYR,C190199A-P3,basal_dendrite,9,1819.947968408971,50.0,6.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Neocortex,PYR,C260897C-P4,apical_dendrite,11,1946.8134248499819,50.0,1.0,0.0,3.0,4.0,1.0,1.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Neocortex,PYR,C260897C-P4,basal_dendrite,7,1191.5603012334361,50.0,3.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Neocortex,PYR,C240199B-P1,apical_dendrite,9,2115.9279985869484,50.0,4.0,0.0,1.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Neocortex,PYR,C240199B-P1,basal_dendrite,3,397.419168666898,50.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Neocortex,PYR,C220197A-P1,apical_dendrite,3,1142.384089688701,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Neocortex,PYR,C030796A-P1,apical_dendrite,26,8268.677343129784,50.0,1.0,0.0,5.0,11.0,16.0,12.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Neocortex,PYR,C030796A-P1,basal_dendrite,20,4934.663644319271,50.0,11.0,10.0,22.0,25.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Neocortex,PYR,C231296A-P4A2,apical_dendrite,5,1372.8537441439987,50.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Neocortex,PYR,C231296A-P4A2,basal_dendrite,7,1696.792422432888,50.0,7.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Neocortex,PYR,C050896A-P1,apical_dendrite,22,3846.3443925197116,50.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,6.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Neocortex,PYR,C050896A-P1,basal_dendrite,8,1686.6324189720171,50.0,7.0,14.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Neocortex,PYR,C280998A-P3,apical_dendrite,5,1200.7362155284368,50.0,1.0,0.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Neocortex,PYR,C280998A-P3,basal_dendrite,10,1410.0668182008703,50.0,3.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Neocortex,PYR,C200897C-P4,apical_dendrite,4,1436.6659317744504,50.0,1.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Neocortex,PYR,C200897C-P4,basal_dendrite,4,1118.9674940441635,50.0,3.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Neocortex,PYR,C261296A-P1,apical_dendrite,119,9164.661694882561,50.0,1.0,0.0,3.0,6.0,9.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,9.0,13.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Neocortex,PYR,C261296A-P1,basal_dendrite,13,1547.161502296136,50.0,7.0,1.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Neocortex,PYR,C040896A-P2,apical_dendrite,31,7165.669927815508,50.0,1.0,6.0,7.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,9.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Neocortex,PYR,C040896A-P2,basal_dendrite,12,2569.124437756863,50.0,7.0,2.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Neocortex,PYR,C150897B-P2,apical_dendrite,4,906.3970962423391,50.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Neocortex,PYR,C150897B-P2,basal_dendrite,10,1584.3018075756067,50.0,6.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Neocortex,PYR,C230998A-P2,apical_dendrite,1,251.95668812115127,50.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Neocortex,PYR,C230998A-P2,basal_dendrite,6,1199.2930471206803,50.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Neocortex,PYR,C240199B-P2,apical_dendrite,11,1806.5297005746704,50.0,1.0,0.0,4.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Neocortex,PYR,C240199B-P2,basal_dendrite,10,1821.258237309005,50.0,6.0,0.0,1.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Neocortex,PYR,C170898A-P3,basal_dendrite,5,1853.651742219341,50.0,6.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Neocortex,PYR,C170898A-P3,apical_dendrite,3,1299.3302870194705,50.0,1.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Neocortex,PYR,C310897B-P4,apical_dendrite,6,1555.9217912900378,50.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Neocortex,PYR,C310897B-P4,basal_dendrite,9,2396.141718813055,50.0,7.0,15.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Neocortex,PYR,C271097A-P3,apical_dendrite,5,845.4240902214922,50.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Neocortex,PYR,C271097A-P3,basal_dendrite,11,2079.5817237779665,50.0,6.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Neocortex,PYR,C240797B-P3,apical_dendrite,7,2107.58811044048,50.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Neocortex,PYR,C240797B-P3,basal_dendrite,12,2408.802856551023,50.0,6.0,2.0,4.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Neocortex,PYR,C200897C-P3,apical_dendrite,2,939.7497961861,50.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Neocortex,PYR,C200897C-P3,basal_dendrite,3,299.02961754011795,50.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
